,Rank,Title,Lifetime Gross,Max Theaters,Opening,Open Th,Release Date,Distributor
57,58,Porco Rosso,"$443,059",755,"$156,270",734,"May 20, 2018",Fathom Events
58,59,Akira,"$439,162",2,"$11,263",2,"Dec 25, 1989",-
59,60,One Piece Film: Gold,"$423,593",372,"$50,241",13,"Jan 10, 2017",FUNimation Entertainment
60,61,"The Night Is Short, Walk on Girl","$406,490",415,"$18,302",10,"Aug 21, 2018",GKIDS
61,62,Puella Magi Madoka Magica the Movie Part III: The Rebellion Story,"$375,627",76,"$189,514",37,"Dec 3, 2013",Eleven Arts
62,63,Pom Poko,"$372,405",758,"$107,909",733,"Jun 17, 2018",Fathom Events
63,64,A Silent Voice: The Movie,"$333,984",581,-,-,"Jan 28, 2019",Fathom Events
64,65,Attack on Titan: Part 2,"$305,934",230,"$12,861",230,"Oct 20, 2015",FUNimation Entertainment
65,66,April and the Extraordinary World,"$295,488",35,"$11,413",1,"Mar 25, 2016",GKIDS
66,67,I Want to Eat Your Pancreas,"$277,019",427,"$111,108",397,"Feb 7, 2019",Fathom Events
67,68,Is It Wrong to Try to Pick Up Girls in a Dungeon - Arrow of the Orion,"$271,489",614,-,-,"Jul 23, 2019",Fathom Events
68,69,"Yo-kai Watch Movie: It's the Secret of Birth, Meow!","$257,343",329,-,-,"Oct 15, 2016",Eleven Arts
69,70,Black Butler: Book of the Atlantic,"$248,286",187,-,-,"Jun 12, 2017",FUNimation Entertainment
70,71,Argus Limited,"$238,379",420,-,-,"Oct 25, 2018",Fathom Events
71,72,Tokyo Godfathers,"$237,571",519,"$5,800",4,"Mar 9, 2020",Fathom Events
72,73,Bishôjo senshi Sailor Moon Super S Special,"$231,434",580,"$109,707",520,"Aug 4, 2018",Fathom Events
73,74,Millennium Actress,"$225,250",512,-,-,"Aug 13, 2019",Fathom Events
74,75,Miss Hokusai,"$222,670",84,"$24,524",2,"Oct 14, 2016",GKIDS
75,76,Mazinger Z: INFINITY,"$220,682",495,"$137,451",482,"Feb 11, 2018",Fathom Events
76,77,Fate/stay night [Heaven's Feel] I. presage flower,"$193,833",245,-,-,"Jun 5, 2018",Fathom Events
77,78,Digimon Adventure tri. Part 1: Reunion,"$190,581",457,"$163,005",457,"Sep 15, 2016",Eleven Arts
78,79,Maquia: When the Promised Flower Blooms,"$185,699",221,"$71,472",157,"Jul 20, 2018",Eleven Arts
79,80,Puella Magi Madoka Magica the Movie Part 1: Beginnings,"$180,440",5,"$62,340",5,"Oct 19, 2012",Eleven Arts
80,81,Fullmetal Alchemist: The Sacred Star of Milos,"$177,802",42,"$119,300",42,"Jan 20, 2012",Eleven Arts
81,82,Evangelion: 3.0 You Can (Not) Redo,"$174,945",82,"$110,825",82,"Jan 10, 2014",Eleven Arts
82,83,Vampire Hunter D: Bloodlust,"$151,086",12,"$25,521",6,"Sep 21, 2001",-
