,Rank,Title,Year,Number of Episodes,Genre,Anime Type,Production House,Ratings,Comments
0,1,Frieren: Beyond Journey’s End,2023,28,Adventure,TV-Series,MADHOUSE Inc.,4.54,Masterpiece
1,2,Fullmetal Alchemist: Brotherhood,2009,64,Adventure,TV-Series,BONES Inc.,4.53,Masterpiece
2,3,Your Name.,2016,1,Sentimental Drama,Movie,CoMix Wave Films Inc.,4.51,Masterpiece
3,4,The Apothecary Diaries,2023,24,Drama,TV-Series,"OLM, Inc., TOHO animation STUDIO Co., Ltd.",4.5,Masterpiece
4,5,Code Geass: Lelouch of the Rebellion R2,2008,25,Action Drama,TV-Series,SUNRISE Inc.,4.5,Masterpiece
5,6,Death Note,2006,37,Supernatural Thriller,TV-Series,MADHOUSE Inc.,4.49,Masterpiece
6,7,Attack on Titan: Season 3 (Part 2),2019,10,Action Drama,TV-Series,"WIT STUDIO, Inc.",4.46,Masterpiece
7,8,Demon Slayer: Kimetsu no Yaiba - Entertainment District Arc,2021,11,Action Drama,TV-Series,"ufotable, Inc.",4.46,Masterpiece
8,9,Violet Evergarden: The Movie,2020,1,Sentimental Drama,Movie,"Kyoto Animation Co., Ltd.",4.46,Masterpiece
9,10,Code Geass: Lelouch of the Rebellion,2006,25,Action Drama,TV-Series,SUNRISE Inc.,4.44,Masterpiece
10,11,Steins;Gate,2011,24,Supernatural Thriller,TV-Series,"WHITE FOX Co., Ltd.",4.44,Masterpiece
11,12,A Silent Voice,2016,1,Sentimental Drama,Movie,"Kyoto Animation Co., Ltd.",4.43,Masterpiece
12,13,Clannad: After Story,2008,24,Sentimental Drama,TV-Series,"Kyoto Animation Co., Ltd.",4.41,Masterpiece
13,14,Attack on Titan: Final Season - The Final Chapters,2023,2,Action Drama,TV-Special,"MAPPA Co., Ltd.",4.42,Masterpiece
14,15,GTO: Great Teacher Onizuka,1999,43,Drama,TV-Series,"Pierrot Co., Ltd.",4.41,Masterpiece
15,16,Fruits Basket: The Final Season,2021,13,Drama,TV-Series,"TMS Entertainment Co., Ltd.",4.42,Masterpiece
16,17,Oshi no Ko,2023,11,Sentimental Drama,TV-Series,Doga Kobo,4.4,Masterpiece
17,18,Bleach: Thousand-Year Blood War,2022,13,Fighting-Shounen,TV-Series,"Pierrot Co., Ltd.",4.4,Masterpiece
18,19,Gintama (Episodes 266-316),2015,51,Nonsense-Comedy,TV-Series,BANDAI NAMCO Pictures Inc.,4.38,Masterpiece
19,20,Demon Slayer: Kimetsu no Yaiba - The Movie: Mugen Train,2020,1,Action Drama,Movie,"ufotable, Inc.",4.38,Masterpiece
20,21,I Want to Eat Your Pancreas,2018,1,Sentimental Drama,Movie,"studio VOLN Co., Ltd.",4.37,Masterpiece
21,22,That Time I Got Reincarnated as a Slime: Season 2,2021,12,Adventure,TV-Series,"8bit Corp, Inc.",4.37,Masterpiece
22,23,Attack on Titan: Final Season Part 2,2022,12,Action Drama,TV-Series,"MAPPA Co., Ltd.",4.37,Masterpiece
23,24,Mushoku Tensei: Jobless Reincarnation (Part 2),2021,12,Adventure,TV-Series,"StudioBind Co., Ltd.",4.37,Masterpiece
24,25,Gintama (Episodes 253-265),2012,13,Nonsense-Comedy,TV-Series,SUNRISE Inc.,4.37,Masterpiece
25,26,Erased,2016,12,Supernatural Thriller,TV-Series,A-1 Pictures Inc.,4.36,Masterpiece
26,27,Demon Slayer: Kimetsu no Yaiba - Swordsmith Village Arc,2023,11,Action Drama,TV-Series,"ufotable, Inc.",4.35,Masterpiece
27,28,Kaguya-sama: Love Is War - Ultra Romantic,2022,13,Romantic Comedy,TV-Series,A-1 Pictures Inc.,4.35,Masterpiece
28,29,That Time I Got Reincarnated as a Slime: Season 2 (Part 2),2021,12,Adventure,TV-Series,"8bit Corp, Inc.",4.34,Masterpiece
29,30,Attack on Titan: Final Season,2020,16,Action Drama,TV-Series,"MAPPA Co., Ltd.",4.34,Masterpiece
30,31,Haikyu!! To the Top (Part 2),2020,12,Ganbatte,TV-Series,"Production I.G., Inc.",4.34,Masterpiece
31,32,The Dangers in My Heart: Season 2,2024,13,Romantic Comedy,TV-Series,"Shin-ei Animation Co., Ltd.",4.36,Masterpiece
32,33,Hunter × Hunter (2011),2011,148,Fighting-Shounen,TV-Series,MADHOUSE Inc.,4.34,Masterpiece
33,34,Demon Slayer: Kimetsu no Yaiba,2019,26,Action Drama,TV-Series,"ufotable, Inc.",4.34,Masterpiece
34,35,Oshi no Ko 2,2024,13,Drama,TV-Series,Doga Kobo,4.37,Masterpiece
35,36,Mushi-Shi: The Next Passage 2,2014,10,Drama,TV-Series,Animation Studio Artland Inc.,4.34,Masterpiece
36,37,Gintama (Episodes 202-252),2011,51,Nonsense-Comedy,TV-Series,SUNRISE Inc.,4.34,Masterpiece
37,38,Gintama (Episodes 317-328),2017,12,Nonsense-Comedy,TV-Series,BANDAI NAMCO Pictures Inc.,4.35,Masterpiece
38,39,Attack on Titan: Season 3,2018,12,Action Drama,TV-Series,"WIT STUDIO, Inc.",4.32,Masterpiece
39,40,Haikyu!! 3rd Season,2016,10,Ganbatte,TV-Series,"Production I.G., Inc.",4.32,Masterpiece
40,41,My Hero Academia Season 6,2022,25,Action Comedy,TV-Series,BONES Inc.,4.32,Masterpiece
41,42,The Disappearance of Haruhi Suzumiya,2010,1,Drama,Movie,"Kyoto Animation Co., Ltd.",4.31,Masterpiece
42,43,Attack on Titan,2013,25,Action Drama,TV-Series,"WIT STUDIO, Inc.",4.31,Masterpiece
43,44,Demon Slayer: Kimetsu no Yaiba - Mugen Train Arc,2021,7,Action Drama,TV-Series,"ufotable, Inc.",4.31,Masterpiece
44,45,Kaiju No. 8,2024,12,Action Comedy,TV-Series,"Production I.G., Inc.",4.31,Masterpiece
45,46,Mushi-Shi: The Next Passage,2014,11,Drama,TV-Series,Animation Studio Artland Inc.,4.31,Masterpiece
46,47,My Dress-Up Darling,2022,12,Romantic Comedy,TV-Series,CloverWorks Inc.,4.3,Masterpiece
47,48,Gekijouban Gintama Kanketsuhen: Yorozuya yo Eien Nare,2013,1,Action Comedy,Movie,SUNRISE Inc.,4.31,Masterpiece
48,49,Suzume,2022,1,Adventure,Movie,CoMix Wave Films Inc.,4.3,Masterpiece
49,50,Jujutsu Kaisen,2020,24,Fighting-Shounen,TV-Series,"MAPPA Co., Ltd.",4.3,Masterpiece
50,51,Hajime no Ippo: The Fighting! - New Challenger,2009,26,Ganbatte,TV-Series,MADHOUSE Inc.,4.3,Masterpiece
51,52,Steins;Gate: The Movie - Load Region of Deja Vu,2013,1,Thriller,Movie,"WHITE FOX Co., Ltd.",4.29,Masterpiece
52,53,Mushoku Tensei: Jobless Reincarnation,2021,11,Adventure,TV-Series,"StudioBind Co., Ltd.",4.29,Masterpiece
53,54,That Time I Got Reincarnated as a Slime,2018,24,Adventure,TV-Series,"8bit Corp, Inc.",4.29,Masterpiece
54,55,Haikyu!! 2nd Season,2015,25,Ganbatte,TV-Series,"Production I.G., Inc.",4.29,Masterpiece
55,56,The Founder of Diabolism Final Season,2021,12,Adventure,Web,,4.39,Masterpiece
56,57,Fighting Spirit,2000,75,Ganbatte,TV-Series,MADHOUSE Inc.,4.28,Masterpiece
57,58,Princess Mononoke,1997,1,Adventure,Movie,Studio Ghibli Inc.,4.28,Masterpiece
58,59,Fruits Basket Season 2,2020,25,Drama,TV-Series,"TMS Entertainment Co., Ltd.",4.29,Masterpiece
59,60,Jujutsu Kaisen: Season 2,2023,23,?,TV-Series,"MAPPA Co., Ltd.",4.28,Masterpiece
60,61,One Punch Man,2015,12,Action Comedy,TV-Series,MADHOUSE Inc.,4.27,Masterpiece
61,62,Made in Abyss: The Golden City of the Scorching Sun,2022,12,Adventure,TV-Series,"Kinema Citrus Co., Ltd.",4.28,Masterpiece
62,63,Bunny Drop,2011,11,Slice of Life Drama,TV-Series,"Production I.G., Inc.",4.27,Masterpiece
63,64,Attack on Titan: Season 2,2017,12,Action Drama,TV-Series,"WIT STUDIO, Inc.",4.27,Masterpiece
64,65,The Rising of the Shield Hero,2018,25,Adventure,TV-Series,"Kinema Citrus Co., Ltd.",4.26,Masterpiece
65,66,Kimi ni Todoke: From Me to You - Season 3,2024,5,Romantic Comedy,Web,"Production I.G., Inc.",4.42,Masterpiece
66,67,Spy × Family,2022,12,Action Comedy,TV-Series,"WIT STUDIO, Inc., CloverWorks Inc.",4.26,Masterpiece
67,68,The Eminence in Shadow: Season 2,2023,12,Action Comedy,TV-Series,Nexus,4.27,Masterpiece
68,69,Jujutsu Kaisen 0,2021,1,Action Drama,Movie,"MAPPA Co., Ltd.",4.27,Masterpiece
69,70,Your Lie in April,2014,22,Sentimental Drama,TV-Series,A-1 Pictures Inc.,4.26,Masterpiece
70,71,Mushishi Zoku Shou: Suzu no Shizuku,2015,1,Drama,Movie,Animation Studio Artland Inc.,4.27,Masterpiece
71,72,My Hero Academia Season 3,2018,25,Action Comedy,TV-Series,BONES Inc.,4.25,Masterpiece
72,73,Kaguya-sama: Love Is War - The First Kiss That Never Ends,2022,1,Romantic Comedy,Movie,A-1 Pictures Inc.,4.27,Masterpiece
73,74,Rascal Does Not Dream of a Dreaming Girl,2019,1,Romantic Drama,Movie,CloverWorks Inc.,4.25,Masterpiece
74,75,The Promised Neverland,2019,12,Supernatural Thriller,TV-Series,CloverWorks Inc.,4.25,Masterpiece
75,76,Violet Evergarden,2018,13,Sentimental Drama,TV-Series,"Kyoto Animation Co., Ltd.",4.24,Masterpiece
76,77,Haikyu!! To the Top,2020,13,Ganbatte,TV-Series,"Production I.G., Inc.",4.25,Masterpiece
77,78,Toradora!,2008,25,Romantic Comedy,TV-Series,"J.C.STAFF Co., Ltd.",4.24,Masterpiece
78,79,Weathering with You,2019,1,Sentimental Drama,Movie,CoMix Wave Films Inc.,4.24,Masterpiece
79,80,Evangelion: 2.22 - You Can (Not) Advance.,2009,1,Action Drama,Movie,Studio Khara,4.24,Masterpiece
80,81,Hajime no Ippo: The Fighting! Rising,2013,25,Ganbatte,TV-Series,"MAPPA Co., Ltd., MADHOUSE Inc.",4.25,Masterpiece
81,82,Link Click: Season 2,2023,12,Drama,Web,,4.3,Masterpiece
82,83,Link Click,2021,11,Drama,Web,Dongguanshi LAN Ying Hua Donghua Zhizuo Youxiangongsi,4.26,Masterpiece
83,84,Solo Leveling,2024,12,Adventure,TV-Series,A-1 Pictures Inc.,4.23,Masterpiece
84,85,My Hero Academia Season 2,2017,25,Action Comedy,TV-Series,BONES Inc.,4.23,Masterpiece
85,86,Vinland Saga,2019,24,Adventure,TV-Series,"WIT STUDIO, Inc.",4.23,Masterpiece
86,87,Kaguya-sama: Love Is War?,2020,12,Romantic Comedy,TV-Series,A-1 Pictures Inc.,4.23,Masterpiece
87,88,Fruits Basket: Prelude,2022,1,Slice of Life Drama,Movie,"TMS Entertainment Co., Ltd.",4.29,Masterpiece
88,89,My Hero Academia Season 4,2019,25,Action Comedy,TV-Series,BONES Inc.,4.23,Masterpiece
89,90,86: Eighty Six (Season 2),2021,12,Action Drama,TV-Series,A-1 Pictures Inc.,4.23,Masterpiece
90,91,Heaven Official’s Blessing 2,2023,12,Adventure,Web,,4.38,Masterpiece
91,92,Spice and Wolf: Season 2,2009,12,Adventure,TV-Series,"Marvy Jack, Brain's Base",4.22,Excellent
92,93,Mushoku Tensei: Jobless Reincarnation - Season 2,2023,12,Adventure,TV-Series,"StudioBind Co., Ltd.",4.22,Excellent
93,94,Is It Wrong to Try to Pick Up Girls in a Dungeon? IV - Part 2,2023,11,Action Comedy,TV-Series,"J.C.STAFF Co., Ltd.",4.23,Masterpiece
94,95,Mushoku Tensei: Jobless Reincarnation - Season 2 Cour 2,2024,12,Adventure,TV-Series,"StudioBind Co., Ltd.",4.22,Excellent
95,96,Gintama (Episodes 342-353),2018,12,Nonsense-Comedy,TV-Series,BANDAI NAMCO Pictures Inc.,4.24,Masterpiece
96,97,Gintama: The Very Final,2021,1,Nonsense-Comedy,Movie,BANDAI NAMCO Pictures Inc.,4.3,Masterpiece
97,98,Spirited Away,2001,1,Ghost Stories,Movie,Studio Ghibli Inc.,4.21,Excellent
98,99,Rurouni Kenshin: Trust & Betrayal,1999,4,Drama,OVA,"Studio DEEN Co., Ltd.",4.21,Excellent
99,100,Gintama (Episodes 354-367),2018,14,Nonsense-Comedy,TV-Series,BANDAI NAMCO Pictures Inc.,4.24,Masterpiece
100,101,March Comes in Like a Lion Season 2,2017,22,Drama,TV-Series,SHAFT Inc.,4.22,Excellent
101,102,Horimiya,2021,13,Romantic Comedy,TV-Series,CloverWorks Inc.,4.21,Excellent
102,103,Cyberpunk: Edgerunners,2022,10,Action,Web,Trigger Inc.,4.21,Excellent
103,104,The Eminence in Shadow,2022,20,Action Comedy,TV-Series,Nexus,4.2,Excellent
104,105,Made in Abyss,2017,13,Adventure,TV-Series,"Kinema Citrus Co., Ltd.",4.2,Excellent
105,106,Kingdom Season 3,2020,26,Action,TV-Series,"Pierrot Co., Ltd., St.Signpost.CO.,Ltd.",4.27,Masterpiece
106,107,"Josee, the Tiger and the Fish",2020,1,Romantic Drama,Movie,BONES Inc.,4.21,Excellent
107,108,Nana,2006,47,Romantic Drama,TV-Series,MADHOUSE Inc.,4.2,Excellent
108,109,Made in Abyss: Dawn of the Deep Soul,2020,1,Adventure,Movie,"Kinema Citrus Co., Ltd.",4.2,Excellent
109,110,Parasyte: The Maxim,2014,24,Action Drama,TV-Series,MADHOUSE Inc.,4.19,Excellent
110,111,Ascendance of a Bookworm (Part 2),2020,12,Slice of Life Drama,TV-Series,"AJIADO CO.,LTD.",4.2,Excellent
111,112,Dr. Stone,2019,24,Adventure Comedy,TV-Series,"TMS Entertainment Co., Ltd.",4.19,Excellent
112,113,Haikyu!!,2014,25,Ganbatte,TV-Series,"Production I.G., Inc.",4.19,Excellent
113,114,Violet Evergarden: Eternity and the Auto Memories Doll,2019,1,Drama,Movie,"Kyoto Animation Co., Ltd.",4.19,Excellent
114,115,Kamisama Hajimemashita: Kako-hen,2015,4,Romantic Comedy,OVA,"TMS Entertainment Co., Ltd.",4.2,Excellent
115,116,Food Wars! Shokugeki no Soma,2015,24,Ganbatte,TV-Series,"J.C.STAFF Co., Ltd.",4.18,Excellent
116,117,One Piece,1999,1122,Fighting-Shounen,TV-Series,"Toei Animation Co., Ltd.",4.18,Excellent
117,118,Bakuman Season 3,2012,25,Ganbatte,TV-Series,"J.C.STAFF Co., Ltd.",4.18,Excellent
118,119,Owarimonogatari Second Season,2017,7,Ghost Stories,TV-Special,SHAFT Inc.,4.2,Excellent
119,120,The Garden of Sinners: Paradox Paradigm,2008,1,Drama,Movie,"ufotable, Inc.",4.18,Excellent
120,121,Bungo Stray Dogs 5,2023,11,Action Comedy,TV-Series,BONES Inc.,4.23,Masterpiece
121,122,Bleach: Thousand-Year Blood War - Part 2,2023,13,Fighting-Shounen,TV-Series,"Pierrot Co., Ltd.",4.2,Excellent
122,123,Re:Zero - Starting Life in Another World: Director’s Cut,2020,13,Drama,TV-Series,"WHITE FOX Co., Ltd.",4.18,Excellent
123,124,Mushi-Shi OVA,2014,1,Drama,TV-Special,Animation Studio Artland Inc.,4.18,Excellent
124,125,Dr. Stone: Stone Wars,2021,11,Adventure,TV-Series,"TMS Entertainment Co., Ltd.",4.17,Excellent
125,126,Ascendance of a Bookworm (Part 3),2022,10,Slice of Life Drama,TV-Series,"AJIADO CO.,LTD.",4.18,Excellent
126,127,Bocchi the Rock!,2022,12,Comedy,TV-Series,CloverWorks Inc.,4.18,Excellent
127,128,Dr. Stone: New World (Cour 2),2023,11,Adventure,TV-Series,"TMS Entertainment Co., Ltd.",4.18,Excellent
128,129,Kingdom Season 4,2022,26,Action,TV-Series,"Pierrot Co., Ltd., St.Signpost.CO.,Ltd.",4.25,Masterpiece
129,130,Wolf Children,2012,1,Drama,Movie,"Chizu, Inc.",4.17,Excellent
130,131,Food Wars! The Third Plate,2017,12,Ganbatte,TV-Series,"J.C.STAFF Co., Ltd.",4.17,Excellent
131,132,Haikyu!! The Dumpster Battle,2024,1,Ganbatte,Movie,"Production I.G., Inc.",4.3,Masterpiece
132,133,Food Wars! The Third Plate (Totsuki Train-Arc),2018,12,Ganbatte,TV-Series,"J.C.STAFF Co., Ltd.",4.17,Excellent
133,134,Mushi-Shi,2005,26,Drama,TV-Series,Artland Inc.,4.16,Excellent
134,135,Demon Slayer: Kimetsu no Yaiba - Hashira Training Arc,2024,8,Action Drama,TV-Series,"ufotable, Inc.",4.16,Excellent
135,136,Food Wars! The Second Plate,2016,13,Ganbatte,TV-Series,"J.C.STAFF Co., Ltd.",4.16,Excellent
136,137,Assassination Classroom Season 2,2016,25,Action Comedy,TV-Series,Lerche,4.16,Excellent
137,138,Saga of Tanya the Evil: The Movie,2019,1,Action,Movie,Nut Inc.,4.16,Excellent
138,139,My Hero Academia: Season 7,2024,21,Action Comedy,TV-Series,BONES Inc.,4.18,Excellent
139,140,Monster,2004,74,Thriller,TV-Series,MADHOUSE Inc.,4.15,Excellent
140,141,Black Lagoon: The Second Barrage,2006,12,Action,TV-Series,MADHOUSE Inc.,4.15,Excellent
141,142,Attack on Titan: No Regrets,2014,2,Action Drama,OVA,"WIT STUDIO, Inc.",4.15,Excellent
142,143,Mob Psycho 100 II,2019,13,Action Comedy,TV-Series,BONES Inc.,4.15,Excellent
143,144,AnoHana: The Flower We Saw That Day,2011,11,Drama,TV-Series,A-1 Pictures Inc.,4.15,Excellent
144,145,Re:Zero - Starting Life in Another World Season 2 (Part 2),2021,12,Drama,TV-Series,"WHITE FOX Co., Ltd.",4.15,Excellent
145,146,"No Game, No Life Zero",2017,1,Action Drama,Movie,MADHOUSE Inc.,4.15,Excellent
146,147,Laid-Back Camp Season 2,2021,13,Slice of Life Comedy,TV-Series,"C-Station Co., Ltd",4.16,Excellent
147,148,Elfen Lied,2004,13,Action Drama,TV-Series,"Commonsense Inc., Studio Guts Co., Ltd.",4.14,Excellent
148,149,Violet Evergarden: Special,2018,1,Drama,Bonus,"Kyoto Animation Co., Ltd.",4.15,Excellent
149,150,Fairy Tail Final Season,2018,51,Fighting-Shounen,TV-Series,"Bridge Inc., A-1 Pictures Inc., CloverWorks Inc.",4.15,Excellent
150,151,Spy × Family (Cour 2),2022,13,Action Comedy,TV-Series,"CloverWorks Inc., WIT STUDIO, Inc.",4.14,Excellent
151,152,The Garden of Sinners: ...Not Nothing Heart (Murder Speculation Part B),2009,1,Drama,Movie,"ufotable, Inc.",4.14,Excellent
152,153,The Quintessential Quintuplets 2,2021,12,Romantic Comedy,TV-Series,Bibury Animation Studios,4.14,Excellent
153,154,The Founder of Diabolism,2018,15,Action,Web,,4.18,Excellent
154,155,Fate/Stay Night: Unlimited Blade Works - Season 2,2015,13,Action Drama,TV-Series,"ufotable, Inc.",4.14,Excellent
155,156,JoJo’s Bizarre Adventure: Golden Wind,2018,39,Fighting-Shounen,TV-Series,David Production Inc.,4.15,Excellent
156,157,Ascendance of a Bookworm,2019,14,Slice of Life Drama,TV-Series,"AJIADO CO.,LTD.",4.14,Excellent
157,158,Steins;Gate 0,2018,23,Thriller,TV-Series,"WHITE FOX Co., Ltd.",4.14,Excellent
158,159,Mobile Suit Gundam SEED,2002,50,Action Drama,TV-Series,SUNRISE Inc.,4.13,Excellent
159,160,Gintama (Episodes 329-341),2017,13,Nonsense-Comedy,TV-Series,BANDAI NAMCO Pictures Inc.,4.15,Excellent
160,161,Hunter × Hunter: Greed Island Final,2004,14,Fighting-Shounen,OVA,"Nippon Animation Co., Ltd.",4.14,Excellent
161,162,Overlord III,2018,13,Action,TV-Series,MADHOUSE Inc.,4.13,Excellent
162,163,Overlord IV,2022,13,Action,TV-Series,MADHOUSE Inc.,4.13,Excellent
163,164,Spy × Family Code: White,2023,1,Action Comedy,Movie,"WIT STUDIO, Inc., CloverWorks Inc.",4.16,Excellent
164,165,The Angel Next Door Spoils Me Rotten,2023,12,Romance,TV-Series,project No.9,4.14,Excellent
165,166,No Game No Life,2014,12,Adventure,TV-Series,MADHOUSE Inc.,4.12,Excellent
166,167,Chainsaw Man,2022,12,Action Drama,TV-Series,"MAPPA Co., Ltd.",4.13,Excellent
167,168,Kuroko’s Basketball Season 2,2013,25,Ganbatte,TV-Series,"Production I.G., Inc.",4.12,Excellent
168,169,Kanon,2006,24,Sentimental Drama,TV-Series,"Kyoto Animation Co., Ltd.",4.12,Excellent
169,170,Summer Time Rendering,2022,25,Supernatural Thriller,TV-Series,"OLM, Inc.",4.13,Excellent
170,171,Violet Evergarden: Recollections,2021,1,Sentimental Drama,TV-Special,"Kyoto Animation Co., Ltd.",4.22,Excellent
171,172,Sword Art Online: The Movie - Progressive: Aria of a Starless Night,2021,1,Action,Movie,A-1 Pictures Inc.,4.14,Excellent
172,173,Kuroko’s Basketball Season 3,2015,25,Ganbatte,TV-Series,"Production I.G., Inc.",4.12,Excellent
173,174,ReLIFE: Final Arc,2018,4,Slice of Life Drama,OVA,"TMS Entertainment Co., Ltd.",4.12,Excellent
174,175,Vinland Saga: Season 2,2023,24,Adventure,TV-Series,"MAPPA Co., Ltd.",4.13,Excellent
175,176,One Piece Fan Letter,2024,1,?,TV-Special,,4.29,Masterpiece
176,177,Oddtaxi,2021,13,Slice of Life Drama,TV-Series,"OLM, Inc., P.I.C.S. Co., Ltd.",4.14,Excellent
177,178,Steins;Gate: Egoistic Poriomania,2012,1,Comedy,Bonus,"WHITE FOX Co., Ltd.",4.12,Excellent
178,179,Hunter × Hunter: Original Video Animation,2002,8,Fighting-Shounen,OVA,"Nippon Animation Co., Ltd.",4.12,Excellent
179,180,Bakuman Season 2,2011,25,Ganbatte,TV-Series,"J.C.STAFF Co., Ltd.",4.12,Excellent
180,181,Full Metal Panic! The Second Raid,2005,13,Action Drama,TV-Series,"Kyoto Animation Co., Ltd.",4.11,Excellent
181,182,The Quintessential Quintuplets Movie,2022,1,Romantic Comedy,Movie,Bibury Animation Studios,4.13,Excellent
182,183,Fate/Stay Night: Heaven’s Feel,2017,3,Action Drama,Movie,"ufotable, Inc.",4.13,Excellent
183,184,Demon Slayer: Kimetsu no Yaiba - Sibling’s Bond,2019,1,Action,Movie,"ufotable, Inc.",4.15,Excellent
184,185,Fate/Stay Night: Unlimited Blade Works - Season 1,2014,12,Action Drama,TV-Series,"ufotable, Inc.",4.11,Excellent
185,186,Maquia: When the Promised Flower Blooms,2018,1,Drama,Movie,"P.A. Works Co., Ltd.",4.12,Excellent
186,187,Dr. Stone: New World,2023,11,Adventure,TV-Series,"TMS Entertainment Co., Ltd.",4.12,Excellent
187,188,The Disastrous Life of Saiki K. Season 2,2018,24,Slice of Life Comedy,TV-Series,"J.C.STAFF Co., Ltd., EGG FIRM",4.12,Excellent
188,189,Gurren Lagann,2007,27,Action Comedy,TV-Series,"Gainax Co., Ltd.",4.11,Excellent
189,190,Re:Zero - Starting Life in Another World,2016,25,Drama,TV-Series,"WHITE FOX Co., Ltd.",4.11,Excellent
190,191,A Place Further Than the Universe,2017,13,Adventure,TV-Series,MADHOUSE Inc.,4.12,Excellent
191,192,Sekai Ichi Hatsukoi: World’s Greatest First Love - Season 2,2011,12,Romance,TV-Series,"Studio DEEN Co., Ltd.",4.12,Excellent
192,193,Fullmetal Alchemist,2003,51,Adventure,TV-Series,BONES Inc.,4.11,Excellent
193,194,Spice and Wolf,2008,12,Adventure,TV-Series,"IMAGIN Co., Ltd.",4.11,Excellent
194,195,Rascal Does Not Dream of Bunny Girl Senpai,2018,13,Romantic Drama,TV-Series,CloverWorks Inc.,4.11,Excellent
195,196,Hotarubi no Mori e,2011,1,Slice of Life Drama,Movie,Brain's Base,4.11,Excellent
196,197,Welcome to the N.H.K.,2006,24,Drama,TV-Series,Gonzo K.K.,4.1,Excellent
197,198,Re:Zero - Starting Life in Another World Season 2,2020,13,Drama,TV-Series,"WHITE FOX Co., Ltd.",4.11,Excellent
198,199,Hunter × Hunter: Greed Island,2003,8,Fighting-Shounen,OVA,"Nippon Animation Co., Ltd.",4.11,Excellent
199,200,Sword Art Online The Movie: Ordinal Scale,2017,1,Action Drama,Movie,A-1 Pictures Inc.,4.11,Excellent
200,201,The Founder of Diabolism (2019),2019,8,Action,Web,,4.16,Excellent
201,202,Tonikawa: Over the Moon for You - SNS,2021,1,Romantic Comedy,OVA,Seven Arcs Ltd.,4.12,Excellent
202,203,Cross Game,2009,50,Ganbatte,TV-Series,"SynergySP Co. ,Ltd.",4.11,Excellent
203,204,That Time I Got Reincarnated as a Slime: Season 3,2024,24,Adventure,TV-Series,"8bit Corp, Inc.",4.11,Excellent
204,205,Fairy Tail (Second Season),2014,102,Fighting-Shounen,TV-Series,"Bridge Inc., A-1 Pictures Inc.",4.1,Excellent
205,206,Black Butler: Book of the Atlantic,2017,1,Action,Movie,A-1 Pictures Inc.,4.11,Excellent
206,207,Noragami Aragoto,2015,13,Action,TV-Series,BONES Inc.,4.1,Excellent
207,208,Classroom of the Elite: Season 2,2022,13,Drama,TV-Series,Lerche,4.1,Excellent
208,209,Natsume’s Book of Friends 4,2012,13,Slice of Life Drama,TV-Series,Brain's Base,4.11,Excellent
209,210,JoJo’s Bizarre Adventure: Diamond Is Unbreakable,2016,39,Fighting-Shounen,TV-Series,David Production Inc.,4.11,Excellent
210,211,Mob Psycho 100 III,2022,12,Action Comedy,TV-Series,BONES Inc.,4.11,Excellent
211,212,Beck: Mongolian Chop Squad,2004,26,Ganbatte,TV-Series,MADHOUSE Inc.,4.1,Excellent
212,213,Monogatari Series: Second Season,2013,26,Ghost Stories,TV-Series,SHAFT Inc.,4.1,Excellent
213,214,Kaguya-sama: Love Is War,2019,12,Romantic Comedy,TV-Series,A-1 Pictures Inc.,4.1,Excellent
214,215,A Sign of Affection,2024,12,Romance,TV-Series,"AJIADO CO.,LTD.",4.11,Excellent
215,216,Ranking of Kings,2021,23,Adventure,TV-Series,"WIT STUDIO, Inc.",4.1,Excellent
216,217,K-On! The Movie,2011,1,Slice of Life Comedy,Movie,"Kyoto Animation Co., Ltd.",4.09,Excellent
217,218,Shangri-La Frontier,2023,25,Adventure,TV-Series,"C2C Co., Ltd.",4.1,Excellent
218,219,KonoSuba: God’s Blessing on This Wonderful World! The Movie - Legend of Crimson,2019,1,Adventure Comedy,Movie,"J.C.STAFF Co., Ltd.",4.09,Excellent
219,220,Hell’s Paradise,2023,13,Action Drama,TV-Series,"MAPPA Co., Ltd.",4.09,Excellent
220,221,Dr. Stone Special Episode: Ryusui,2022,1,Adventure,TV-Special,"TMS Entertainment Co., Ltd.",4.1,Excellent
221,222,Heaven Official’s Blessing,2020,11,Adventure,Web,,4.17,Excellent
222,223,Descending Stories: Showa Genroku Rakugo Shinju,2017,12,Drama,TV-Series,"Studio DEEN Co., Ltd.",4.13,Excellent
223,224,Natsume Yujin-cho 6,2017,11,Slice of Life Drama,TV-Series,Shuka Inc.,4.11,Excellent
224,225,Fate/Zero Season 2,2012,12,Action Drama,TV-Series,"ufotable, Inc.",4.08,Excellent
225,226,That Time I Got Reincarnated as a Slime: The Movie - Scarlet Bond,2022,1,Adventure,Movie,"8bit Corp, Inc.",4.09,Excellent
226,227,Kingdom: Season 5,2024,13,Action,TV-Series,"Pierrot Co., Ltd., St.Signpost.CO.,Ltd.",4.24,Masterpiece
227,228,Tokyo Revengers,2021,24,Action Drama,TV-Series,Liden Films Inc.,4.08,Excellent
228,229,My Hero Academia,2016,13,Action Comedy,TV-Series,BONES Inc.,4.08,Excellent
229,230,My Hero Academia The Movie: Heroes Rising,2019,1,Action Comedy,Movie,BONES Inc.,4.09,Excellent
230,231,Kono Oto Tomare! Sounds of Life Season 2,2019,13,Drama,TV-Series,"Platinumvision Co., Ltd.",4.11,Excellent
