,Rank,Title,Year,Number of Episodes,Genre,Anime Type,Production House,Ratings,Comments
1024,1025,Megalobox,2018,13,Action,TV-Series,"TMS Entertainment Co., Ltd.",3.74,Excellent
1025,1026,Legend of the Galactic Heroes: Die Neue These - Intrigue,2022,12,?,OVA,"Production I.G., Inc.",3.96,Excellent
1026,1027,Tada Never Falls in Love,2018,13,Romantic Comedy,TV-Series,Doga Kobo,3.74,Excellent
1027,1028,Radiant: Season 2,2019,21,Adventure,TV-Series,Lerche,3.76,Excellent
1028,1029,Hi Score Girl,2018,12,Romantic Comedy,TV-Series,"J.C.STAFF Co., Ltd.",3.74,Excellent
1029,1030,Beyond the Boundary: I’ll Be Here,2015,2,Action,Movie,"Kyoto Animation Co., Ltd.",3.75,Excellent
1030,1031,Digimon Adventure tri.,2015,6,Adventure,Movie,"Toei Animation Co., Ltd.",3.74,Excellent
1031,1032,Girls & Panzer: This Is the Real Anzio Battle!,2014,1,Action Comedy,OVA,Actas Inc.,3.74,Excellent
1032,1033,Hakumei and Mikochi,2018,12,Slice of Life Drama,TV-Series,Lerche,3.77,Excellent
1033,1034,Another,2012,12,Horror,TV-Series,"P.A. Works Co., Ltd.",3.73,Excellent
1034,1035,Casshern Sins,2008,24,Action Drama,TV-Series,MADHOUSE Inc.,3.73,Excellent
1035,1036,Case Closed The Movie: The Time Bombed Skyscraper,1997,1,Crime Fiction,Movie,"TMS Entertainment Co., Ltd.",3.73,Excellent
1036,1037,Kamisama Hajimemashita (2013),2013,2,Comedy,OVA,"TMS Entertainment Co., Ltd.",3.74,Excellent
1037,1038,The Genius Prince’s Guide to Raising a Nation Out of Debt,2022,12,Action Comedy,TV-Series,Yokohama Animation Lab,3.74,Excellent
1038,1039,By the Grace of the Gods,2020,12,Adventure,TV-Series,"MAHO FILM Co., Ltd.",3.73,Excellent
1039,1040,The Way of the Househusband Part 2,2021,5,Comedy,Web,"J.C.STAFF Co., Ltd.",3.74,Excellent
1040,1041,Room Camp: Saunas and Grub and Three-Wheeler Bikes,2020,1,Comedy,Web,"C-Station Co., Ltd",3.78,Excellent
1041,1042,Moriarty the Patriot OVA,2022,2,Drama,OVA,,3.83,Excellent
1042,1043,Magical Girl Lyrical Nanoha Detonation,2018,1,Action,Movie,Seven Arcs Pictures Ltd.,3.95,Excellent
1043,1044,Thus Spoke Kishibe Rohan: Mutsu-kabe Hill,2018,1,Horror,OVA,David Production Inc.,3.77,Excellent
1044,1045,Perfect Blue,1998,1,Thriller,Movie,MADHOUSE Inc.,3.73,Excellent
1045,1046,Yowamushi Pedal,2013,38,Ganbatte,TV-Series,"TMS Entertainment Co., Ltd.",3.74,Excellent
1046,1047,Words Bubble Up Like Soda Pop,2021,1,Slice of Life Drama,Movie,"Sublimation Inc., SIGNAL.MD, Inc.",3.74,Excellent
1047,1048,The Millionaire Detective: Balance Unlimited,2020,11,Crime Fiction Comedy,TV-Series,CloverWorks Inc.,3.74,Excellent
1048,1049,Wise Man’s Grandchild,2019,12,Comedy,TV-Series,SILVER LINK.,3.73,Excellent
1049,1050,Okko’s Inn,2018,1,Slice of Life Drama,Movie,"MADHOUSE Inc., DLE Inc.",3.76,Excellent
1050,1051,The Boy and the Heron,2023,1,Adventure,Movie,Studio Ghibli Inc.,3.75,Excellent
1051,1052,Talentless Nana,2020,13,Thriller,TV-Series,Bridge Inc.,3.73,Excellent
1052,1053,The Founder of Diabolism Q,2020,30,Comedy,Web,,3.96,Excellent
1053,1054,Romeo × Juliet,2007,24,Drama,TV-Series,Gonzo K.K.,3.73,Excellent
1054,1055,Planetarian (Movie),2016,1,Sentimental Drama,Movie,David Production Inc.,3.77,Excellent
1055,1056,Interviews with Monster Girls: The Demi-chans’ Summer Break,2017,1,Comedy,Bonus,A-1 Pictures Inc.,3.74,Excellent
1056,1057,IDOLiSH7,2017,17,Ganbatte,TV-Series,TROYCA Inc.,3.79,Excellent
1057,1058,Free! The Final Stroke,2021,2,Ganbatte,Movie,"Kyoto Animation Co., Ltd.",3.83,Excellent
1058,1059,Dakaichi: I’m Being Harassed by the Sexiest Man of the Year – the Movie: Spain Arc,2021,1,Romantic Comedy,Movie,CloverWorks Inc.,3.98,Excellent
1059,1060,Bang Dream! Episode of Roselia,2021,2,Ganbatte,Movie,Sanzigen Inc.,4.13,Excellent
1060,1061,Yuki Yuna Is a Hero: The Washio Sumi Chapter,2017,6,Drama,TV-Series,Studio Gokumi,3.83,Excellent
1061,1062,Durarara!! World at Peace,2011,1,Action,Bonus,Brain's Base,3.73,Excellent
1062,1063,Case Closed,1996,1200,Crime Fiction,TV-Series,"TMS Entertainment Co., Ltd.",3.72,Excellent
1063,1064,Pokémon: Twilight Wings,2020,7,Adventure,Web,"Studio Colorido Co., Ltd.",3.8,Excellent
1064,1065,The Legend of Hei,2019,1,Adventure,Movie,,3.79,Excellent
1065,1066,Lupin the Third: Part 5,2018,24,Action Comedy,TV-Series,"Telecom Animation Film Co., Ltd.",3.83,Excellent
1066,1067,"Yahari Ore no Seishun Lovecome wa Machigatte Iru. Kan: Dakara, Shishunki wa Owarazu ni, Seishun wa Tsuzuite Iku.",2023,1,Romantic Comedy,OVA,feel.,3.82,Excellent
1067,1068,xxxHOLiC,2006,24,Ghost Stories,TV-Series,"Production I.G., Inc.",3.72,Excellent
1068,1069,The Heroic Legend of Arslan: Dust Storm Dance,2016,8,Adventure,TV-Series,Liden Films Inc.,3.73,Excellent
1069,1070,91 Days,2016,12,Thriller,TV-Series,Shuka Inc.,3.72,Excellent
1070,1071,Yorinuki Gintama-san on Theater 2D,2012,2,Nonsense-Comedy,Movie,,3.8,Excellent
1071,1072,One Piece Film: Strong World - Episode 0,2010,1,Fighting-Shounen,OVA,"Toei Animation Co., Ltd.",3.73,Excellent
1072,1073,My New Boss Is Goofy,2023,12,Comedy,TV-Series,A-1 Pictures Inc.,3.78,Excellent
1073,1074,Meitantei Conan: 11-ninme no Striker,2012,1,Crime Fiction,Movie,"TMS Entertainment Co., Ltd.",3.73,Excellent
1074,1075,Rent-a-Girlfriend,2020,12,Romantic Comedy,TV-Series,"TMS Entertainment Co., Ltd.",3.72,Excellent
1075,1076,Fate/Apocrypha,2017,25,Action Drama,TV-Series,A-1 Pictures Inc.,3.72,Excellent
1076,1077,The Seven Deadly Sins: Cursed by Light,2021,1,Adventure,Movie,"Studio DEEN Co., Ltd.",3.74,Excellent
1077,1078,Psycho-Pass 3,2019,8,Crime Fiction,TV-Series,"Production I.G., Inc.",3.73,Excellent
1078,1079,Yuruyuri: Happy Go Lily Season 2,2012,12,Comedy,TV-Series,Doga Kobo,3.73,Excellent
1079,1080,Our Love Has Always Been 10 Centimeters Apart.,2017,6,Romance,TV-Series,Lay-duce Inc.,3.73,Excellent
1080,1081,Love Live! Superstar!! Season 2,2022,12,Ganbatte,TV-Series,SUNRISE Inc.,3.81,Excellent
1081,1082,Akashic Records of Bastard Magical Instructor,2017,12,Action Comedy,TV-Series,Liden Films Inc.,3.72,Excellent
1082,1083,Quanzhi Fashi Di 4 Ji,2020,12,Action,Web,,3.77,Excellent
1083,1084,Uzaki-chan Wants to Hang Out!,2020,12,Romantic Comedy,TV-Series,ENGI Corporation,3.72,Excellent
1084,1085,Tokyo Ghoul √A,2015,12,Horror,TV-Series,"Pierrot Co., Ltd.",3.72,Excellent
1085,1086,Ghost in the Shell 2.0,2008,1,Action Drama,Movie,"Production I.G., Inc.",3.73,Excellent
1086,1087,Quanzhi Fashi Di 5 Ji,2021,12,Action,Web,,3.79,Excellent
1087,1088,The Duke of Death and His Maid: Season 2,2023,12,Romantic Comedy,TV-Series,"J.C.STAFF Co., Ltd.",3.75,Excellent
1088,1089,IDOLiSH7 Third Beat! (Cour 2),2022,17,Ganbatte,TV-Series,TROYCA Inc.,3.96,Excellent
1089,1090,Guilty Crown,2011,22,Action Drama,TV-Series,"Production I.G., Inc.",3.72,Excellent
1090,1091,Aggretsuko: Season 2,2019,10,Comedy,Web,Fanworks Inc.,3.73,Excellent
1091,1092,The Rising of the Shield Hero: Season 2,2022,13,Adventure,TV-Series,"DR MOVIE Co., Ltd., Kinema Citrus Co., Ltd.",3.72,Excellent
1092,1093,Those Snow White Notes,2021,12,Drama,TV-Series,"Shin-ei Animation Co., Ltd.",3.74,Excellent
1093,1094,Sugar Apple Fairy Tale,2023,12,Adventure,TV-Series,"J.C.STAFF Co., Ltd.",3.73,Excellent
1094,1095,Doctor Elise: The Royal Lady with the Lamp,2024,12,Drama,TV-Series,"MAHO FILM Co., Ltd.",3.73,Excellent
1095,1096,Kaiba,2008,12,Drama,TV-Series,MADHOUSE Inc.,3.73,Excellent
1096,1097,Pretty Guardian Sailor Moon Crystal Season III,2016,13,Adventure,TV-Series,"Toei Animation Co., Ltd.",3.74,Excellent
1097,1098,Monthly Girls’ Nozaki-kun,2014,12,Romantic Comedy,TV-Series,Doga Kobo,3.72,Excellent
1098,1099,Meitantei Conan: Suihei Senjou no Strategy,2005,1,Crime Fiction,Movie,"TMS Entertainment Co., Ltd.",3.72,Excellent
1099,1100,Mary and the Witch’s Flower,2017,1,Adventure,Movie,"STUDIO PONOC, INC.",3.73,Excellent
1100,1101,Honey and Clover,2005,24,Romance,TV-Series,"J.C.STAFF Co., Ltd.",3.72,Excellent
1101,1102,"Say, “I Love You”",2012,13,Romantic Drama,TV-Series,ZEXCS Inc.,3.71,Excellent
1102,1103,Record of Ragnarok: Season 2,2023,10,Action Drama,Web,"Graphinica, Inc., Yumeta Co., Ltd.",3.74,Excellent
1103,1104,Love Stage!!,2014,10,Romantic Comedy,TV-Series,"J.C.STAFF Co., Ltd.",3.72,Excellent
1104,1105,Tsurune: The Linking Shot,2023,13,Ganbatte,TV-Series,"Kyoto Animation Co., Ltd.",3.84,Excellent
1105,1106,Burn the Witch #0.8: Don’t Judge A Book By Its Cover,2023,1,Action,TV-Special,"Studio Colorido Co., Ltd., team Yamahitsuji",3.78,Excellent
1106,1107,"If It’s for My Daughter, I’d Even Defeat a Demon Lord",2019,12,Adventure,TV-Series,"MAHO FILM Co., Ltd.",3.72,Excellent
1107,1108,Baki Hanma,2021,12,Fighting-Shounen,Web,"TMS Entertainment Co., Ltd.",3.73,Excellent
1108,1109,Bungo Stray Dogs: Walking Alone,2017,1,Action Comedy,OVA,BONES Inc.,3.73,Excellent
1109,1110,The Princess and the Pilot,2011,1,Action Drama,Movie,MADHOUSE Inc.,3.72,Excellent
1110,1111,Irina: The Vampire Cosmonaut,2021,12,Drama,TV-Series,ARVO ANIMATION Inc.,3.73,Excellent
1111,1112,Hinomaru Sumo,2018,24,Ganbatte,TV-Series,Gonzo K.K.,3.74,Excellent
1112,1113,The Twelve Kingdoms,2002,45,Adventure,TV-Series,"Pierrot Co., Ltd.",3.72,Excellent
